Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,ITIS3202,Database Security,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,MIME2230,Workshop Technology,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,MIME2130,Manufacturing Process,1
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,ENGL2100,Technical Communication,1
2017/2018-Semester 1,Business Studies,BAFI4100,Computer Application In Finance,PHIL3201,Formal Arabic Communication,1
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAFI2109,Financial Management,1
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2205,Accounting Application By Computer,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,MATH3120N,Engineering Mathematics,1
2017/2018-Semester 1,Business Studies,BAHR3208,International Issues On Human Resource Management,BAMG4216,Strategic Management,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITDB3111,Project Management,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAHR2204,Compensation And Benefits,1
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC2203,Auditing &Control -1,1
2017/2018-Semester 1,Business Studies,BAPR3311,Senior Project,BAMG4216,Strategic Management,1
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BAAC2203,Auditing &Control -1,1
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,ITSE1203,Introduction To Web Technology,1
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAFI2210,Financial Institutions And Services,1
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAHR3102,Total Qualiity Management,1
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAHR3102,Total Qualiity Management,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ENGL1208,Business Communication,1
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,ENGL1208,Business Communication,1
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4203,Auditing & Control -2,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITPJ2202,Course Project,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITMM2200,Fundamentals Of Multimedia,1
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,ENGL3100,Public Speaking,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2206,Intermediate Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,MATH1102,Pure Math,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,MIME3221,Engineering Design I,1
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC3206,Contemporary Issues In Accounting,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITNT1204,Introduction To Networking,1
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BAMG1100,Introduction To Business,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,MATH1103,Applied Math,1
2017/2018-Semester 1,Business Studies,BAOM4109,Employees Relation,BAFI3211,Banking Theory And Practice,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAFI2210,Financial Institutions And Services,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITSE2102,Introduction To Software Engineering,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITPJ2202,Course Project,1
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAHR3102,Total Qualiity Management,1
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,PHIL3108,Business Ethics,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAFI2109,Financial Management,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,ENGL3100,Public Speaking,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ITDB3208,SQL Concept And Syntax,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,MATH3103,Math I I,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITPJ2202,Course Project,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITSE3102,Introduction To Artificial Intelligence,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITDB2101,System Analysis And Design,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ITSE2100,Object Oriented Programming(Java),1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,MATH3120N,Engineering Mathematics,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITNT3112,Networking Security And Auditing,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE4130,Microwave Engineering,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ITSE1203,Introduction To Web Technology,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITIS3102,Introduction To Cryptography And Security Risk Management,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2101,Cost Accounting -1,1
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,ENTW1100,Technical Writing I,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,ITNT3112,Networking Security And Auditing,1
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,ENGL2100,Technical Communication,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE4220,Digital Communications & Switching,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE2201,Cable And Fiber Splicing,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,MIEE2210N,Engineering Instrumentation& Industrial Control,1
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,ENGL2100,Technical Communication,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITSE1202,Introduction To Operating Systems,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITSE102,Introduction to Operating Systems,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,ITSE3101,Data Structure And Algorithms,1
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,ENGL3100,Public Speaking,1
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAMA3113,Research Methodology,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITSE3203,Advanced Operating System,1
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,ENTW1200,Technical Writing I I,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAMA3113,Research Methodology,1
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAAC2202,Corporate Accounting-1,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EEPW3150,Power Distribution Systems,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITSE3101,Data Structure And Algorithms,1
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,ITSE1203,Introduction To Web Technology,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,ITIS3204,Course Project,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE3190,Electromagentic Field Theory,1
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,ENTW1100,Technical Writing I,1
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAST1206,Managerial Statistics,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAFI2210,Financial Institutions And Services,2
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,FDL4,English For Level 4,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE2320,Instrumentation And Measurment Techniques,2
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAHR3102,Total Qualiity Management,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAMG1207,Principles Of Management,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAMK1205,Principles Of Marketing,2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAFI3301,Project Appraisal,2
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,BAMA3113,Research Methodology,2
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,EECP4192N,Software Engineering & High Level Programming,2
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,EETE4140,Linear Integrated Circuits,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,PHIL3201,Formal Arabic Communication,2
2017/2018-Semester 1,Business Studies,BAFI3211,Banking Theory And Practice,BALW4115,Business Law,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EETE2200,Electronics Skills,2
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE4212,Telecommunication Networks,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ENGL1208,Business Communication,2
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,FPIT0001,IT For Foundation,2
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,FPIT0001,IT For Foundation,2
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,EEPW2252,Electrical Power Systems,2
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,ENGL3100,Public Speaking,2
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAST1206,Managerial Statistics,2
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,BAHR3102,Total Qualiity Management,2
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAMG2111,Entrepreneurship,2
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAMG2111,Entrepreneurship,2
2017/2018-Semester 1,Business Studies,BAFI3301,Project Appraisal,BALW4115,Business Law,2
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAMG3312,Teamwork Management,2
2017/2018-Semester 1,Business Studies,BAPR3311,Senior Project,BAFI3211,Banking Theory And Practice,2
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAMA1101,Business Mathematics,2
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,BAHR2101,Human Resources Management,2
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,MATH4130,Probability & Statistics,2
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE3399,Higher Diploma Project,2
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EETE4299A,B. Tech Project I,2
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,BAST1206,Managerial Statistics,2
2017/2018-Semester 1,Business Studies,BAMG3312,Teamwork Management,BAFI3211,Banking Theory And Practice,2
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,FPIT0001,IT For Foundation,2
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,ITDB3111,Project Management,2
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAAC3203,Government Accounting,2
2017/2018-Semester 1,Business Studies,BAHR3207,Management Of Diversity,BALW4115,Business Law,2
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAHR3208,International Issues On Human Resource Management,2
2017/2018-Semester 1,Business Studies,BADB2301,Database For Small Business,BAHR3102,Total Qualiity Management,2
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAMA3113,Research Methodology,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAEC1203,Principles Of Microeconomics,2
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,EECP3281,Unix System Administration (Linux),2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAFI2210,Financial Institutions And Services,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE2200,Electronics Skills,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE2399,Diploma Project,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EERE2201,Introduction To Renewable Energy,2
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,EETE2270,Fundamentals Of Digital Electronics,2
